letter,headwords,plesion_headwords,rate,percent
Α,578,28,0.04844290657439446,4.844290657439446
Β,200,5,0.025,2.5
Γ,122,5,0.040983606557377046,4.098360655737705
Δ,163,6,0.03680981595092025,3.6809815950920246
Ε,152,3,0.019736842105263157,1.9736842105263157
Ζ,18,2,0.1111111111111111,11.11111111111111
Η,30,2,0.06666666666666667,6.666666666666667
Θ,82,4,0.04878048780487805,4.878048780487805
Ι,130,7,0.05384615384615385,5.384615384615385
Κ,318,23,0.07232704402515723,7.232704402515723
Λ,111,6,0.05405405405405406,5.405405405405405
Μ,271,5,0.01845018450184502,1.845018450184502
Ν,89,2,0.02247191011235955,2.247191011235955
Ξ,16,1,0.0625,6.25
Ο,89,3,0.033707865168539325,3.3707865168539324
Π,294,9,0.030612244897959183,3.061224489795918
Ρ,64,3,0.046875,4.6875
Σ,344,17,0.04941860465116279,4.941860465116279
Τ,206,6,0.02912621359223301,2.912621359223301
Υ,57,3,0.05263157894736842,5.2631578947368425
Φ,122,3,0.02459016393442623,2.459016393442623
Χ,69,4,0.057971014492753624,5.797101449275362
Ψ,22,1,0.045454545454545456,4.545454545454546
Ω,21,0,0.0,0.0
