mineke_lemma_id	mineke_lemma	mineke_entry_number	mineke_image_filenames	mineke_max_page_number	meineke_source_text_version_id	meineke_source_variant	meineke_notes	meineke_text_hash	match_billerbeck_lemma_id	match_billerbeck_lemma	match_billerbeck_entry_number	match_billerbeck_id	match_similarity	match2_billerbeck_lemma_id	match2_billerbeck_lemma	match2_similarity	similarity_delta	normalized_mineke	normalized_match
135455	Ἄβα1	1	meineke_page_014.jpg	14	8627	ocr	OCR from image meineke_page_014.jpg (id=1186)	25733c4ad3d096ee43f647a232784a0705218accd66a6339dfd20409e931dbb0	61051	Ἄβαι	1	Α1	0.750000	7633	Λάβαι	0.600000	0.150000	αβα1	αβαι
135456	Σιδῆς καὶ Πυλήτης		meineke_page_015.jpg	15	8628	ocr	OCR from image meineke_page_015.jpg (id=1187)	22ac7fc5a57ae35fce4e71fb483bd3e2b0bf03e7785e860440ff2525079101a1	41897	Σισίγυλις	185	Σ185	0.466667	30150	Πῶλις καὶ Σῆνος	0.400000	0.066667	σιδησκαιπυλητησ	σισιγυλισ
135465	Ἀβρογίγνες	2	meineke_page_020.jpg	20	8636	ocr	OCR from image meineke_page_020.jpg (id=1192)	53042c578105f0114df98f34176eb9f0825ea7d98d896930ceec63d39e5c851b	61060	Ἀβοριγῖνες	10	Α10	0.700000	115335	Βρίγες	0.600000	0.100000	αβρογιγνεσ	αβοριγινεσ
135466	Ἀβρογῖνοι		meineke_page_021.jpg	21	8637	ocr	OCR from image meineke_page_021.jpg (id=1193)	d31522444ff848192e10acdf2c8821eeba2031b2cad5cdd801d5c07909016193	61065	Ἀβρότονον	15	Α15	0.666667	99830	Ἀρόερνοι	0.666667	0.000000	αβρογινοι	αβροτονον
135473	Ἀβυδαῖος		meineke_page_023.jpg	23	8642	ocr	OCR from image meineke_page_023.jpg (id=1195)	daf9a2da40f59ef32cf7f5d048724dc1de3ad87dbf55311414cb342d6d7b037c	61066	Ἄβυδοι	16	Α16	0.625000	115358	Βύμαζος	0.625000	0.000000	αβυδαιοσ	αβυδοι
135478	Ἀγαθοῦ δαίμων	2	meineke_page_024.jpg	24	8646	ocr	OCR from image meineke_page_024.jpg (id=1196)	a3d7c25fd22c00a76f9c68da24cdad4a3af3bc0723e1c2bd9f13b003d2fddc29	61072	Ἀγαθοῦ δαίμονος	22	Α22	0.785714	8028	Λακεδαίμων	0.583333	0.202381	αγαθουδαιμων	αγαθουδαιμονοσ
135496	Ἀγρουνιθδεν		meineke_page_033.jpg	33	8663	ocr	OCR from image meineke_page_033.jpg (id=1205)	c08f1e925fd4a54b9a547a1a90d689c8fd142ed8d5639602792bd08fe160976a	96979	Ἀρδύνιον	409	Α409	0.545455	121828	Γερούνιον	0.545455	0.000000	αγρουνιθδεν	αρδυνιον
135500	Ἀγροησός		meineke_page_033.jpg	33	8667	ocr	OCR from image meineke_page_033.jpg (id=1205)	9de86e46f563e13acf19ab9f3df9499233ce1b1141df62ceffc5f5e0e541d61b	61092	Ἀγορησός	42	Α42	0.750000	99821	Ἀρκόνησος	0.666667	0.083333	αγροησοσ	αγορησοσ
135507	Θεσμοφοριαζούσαις	1	meineke_page_036.jpg	36	8674	ocr	OCR from image meineke_page_036.jpg (id=1208)	6ae8cf8e28db8bd42fc45b1b83a51f594fa6cd32f04317f0eff7825f2dafd9b0	42034	Συράκουσαι	323	Σ323	0.470588	20786	Θεμβρίμος	0.411765	0.058824	θεσμοφοριαζουσαισ	συρακουσαι
135510	Ἀγυζιλήνη	4	meineke_page_036.jpg	36	8677	ocr	OCR from image meineke_page_036.jpg (id=1208)	252bc7fe83287decb6a235c4706e4c03280e53163aced001477d440875a25d37	11052	Μυτιλήνη	262	Μ262	0.666667	7216	Κυλλήνη	0.555556	0.111111	αγυζιληνη	μυτιληνη
135512	Ἄγχιστις		meineke_page_037.jpg	37	8679	ocr	OCR from image meineke_page_037.jpg (id=1209)	73ed25bc12574e3f509030d971742eb42d9ad97794d07a7c49173851780379c6	11940	Ὀγχηστός	8	Ο8	0.625000	61104	Ἀγχίση	0.625000	0.000000	αγχιστισ	ογχηστοσ
135513	Ἄδασσα		meineke_page_037.jpg	37	8680	ocr	OCR from image meineke_page_037.jpg (id=1209)	7a71507b9f4378882e4a737bbfc939a7fa43bbc20bd7c5f43f672546bbb9d545	22091	Θάλασσα	2	Θ2	0.714286	26683	Πάσσα	0.666667	0.047619	αδασσα	θαλασσα
135515	Ὰδανίς	1	meineke_page_039.jpg	39	19038	ocr	OCR from image meineke_page_045.jpg (id=1217)	f5be2783da4d855a9d2684baaea7f9ddfff7ee91376e329f440cee013ab37df6	32001	Σάδαλις	10	Σ10	0.714286	61053	Ἀβαντίς	0.714286	0.000000	αδανισ	σαδαλισ
135528	Ἀδρύμητος	3	meineke_page_043.jpg	43	8695	ocr	OCR from image meineke_page_043.jpg (id=1215)	a605953749c64a8b09bd07bbde48cd0615c25b71c7144bf1c56d0caf04e89f94	61111	Ἀδράμυττις	61	Α61	0.600000	99852	Ἀρτύμνησος	0.600000	0.000000	αδρυμητοσ	αδραμυττισ
135529	Ἀδυς	4	meineke_page_043.jpg	43	8696	ocr	OCR from image meineke_page_043.jpg (id=1215)	277477cde53c13f364a9d7053a245770c66b9d6099156c9a568778797c339734	2466	Καοῦς	64	Κ64	0.600000	61118	Ἄδρυξ	0.600000	0.000000	αδυσ	καουσ
135536	Ὰδέχεων	3	meineke_page_045.jpg	45	8703	ocr	OCR from image meineke_page_045.jpg (id=1217)	2b5ec8b8b07e53fd897f8144b27d81f16ba2adcb6aa7ebdc94cd1a0edcdd069a	61107	Ἀδέρκων	57	Α57	0.714286	10212	Μεδεών	0.571429	0.142857	αδεχεων	αδερκων
135546	Ἀθορτα		meineke_page_048.jpg	48	8712	ocr	OCR from image meineke_page_048.jpg (id=1220)	75ac3866c11a1ad4865080cf3806147a420fd5bb9782c62521e81143be20ccea	61090	Ἀγορά	40	Α40	0.666667	32032	Σάμορνα	0.571429	0.095238	αθορτα	αγορα
135547	Ἀθύμης / Ἀθυμητος		meineke_page_048.jpg	48	8713	ocr	OCR from image meineke_page_048.jpg (id=1220)	38fb56d0886bb06d711f3632fb574429f511dd2a4f934cdc44c6d0bf3ef0bcb6	61117	Ἀδρύμης, Ἀδρύμητος	67	Α67	0.750000	82928	Ἀμήστρατος	0.500000	0.250000	αθυμησαθυμητοσ	αδρυμησαδρυμητοσ
135548	Ἀθυμητος	1	meineke_page_049.jpg	49	8714	ocr	OCR from image meineke_page_049.jpg (id=1221)	a5f675fa87a07f8540f045fecba38c16bf28b08564f7e39a0ca41f79e2c504ae	61022	Ὑμηττός	29	Υ29	0.625000	80207	Ἄκυτος	0.625000	0.000000	αθυμητοσ	υμηττοσ
135549	Ἀδρευς	2	meineke_page_049.jpg	49	8715	ocr	OCR from image meineke_page_049.jpg (id=1221)	89597bc580ce0e100646d682a17ffbcfe94f0c02666450341418019770ce788e	15927	Δρῦς	138	Δ138	0.666667	61012	Ὑδροῦς	0.666667	0.000000	αδρευσ	δρυσ
135550	Ἀδραματιαι	3	meineke_page_049.jpg	49	8716	ocr	OCR from image meineke_page_049.jpg (id=1221)	c0ce96b78f45c25de729f1e264cb8cb616b7288e68becbf88965d2c86d124491	102792	Ἀτραμῖται	522	Α522	0.700000	61110	Ἀδραμύτειον	0.636364	0.063636	αδραματιαι	ατραμιται
135554	μετιλουωθα		meineke_page_051.jpg	51	8720	ocr	OCR from image meineke_page_051.jpg (id=1223)	70970acb335bf8edc667cb8d3cd7bce42b33db6a8bf910fe0941df32d1be45b5	9615	Μελίτουσα	135	Μ135	0.600000	8959	Μαινόβωρα	0.500000	0.100000	μετιλουωθα	μελιτουσα
