mineke_lemma_id	mineke_lemma	mineke_entry_number	mineke_image_filenames	mineke_max_page_number	meineke_source_text_version_id	meineke_source_variant	meineke_notes	meineke_text_hash	match_billerbeck_lemma_id	match_billerbeck_lemma	match_billerbeck_entry_number	match_billerbeck_id	match_similarity	match2_billerbeck_lemma_id	match2_billerbeck_lemma	match2_similarity	similarity_delta	normalized_mineke	normalized_match
135492	Ἀγκύριον		meineke_page_031.jpg	31	8659	ocr	OCR from image meineke_page_031.jpg (id=1203)	ba21f760c48d7160ea1259983286240ba9a0c0787ea3c5e0e9f86244e442f717	61084	Ἀγκύριον	34	Α34	1.000000	8989	Μανδύριον	0.666667	0.333333	αγκυριον	αγκυριον
135495	Ἄγνους	1	meineke_page_032.jpg	32	8662	ocr	OCR from image meineke_page_032.jpg (id=1204)	40b55b0071f0bf2dcd30b7c745fec34edf077ae29eac91827069e7571a51b748	61087	Ἀγνοῦς	37	Α37	1.000000	13817	Δαφνοῦς	0.714286	0.285714	αγνουσ	αγνουσ
135511	Ἀγχίαλη		meineke_page_037.jpg	37	8678	ocr	OCR from image meineke_page_037.jpg (id=1209)	9497d35358bc7a36558918a040d757ee5998274c00b855ba961c106ec3b43bad	61103	Ἀγχιάλη	53	Α53	1.000000	61104	Ἀγχίση	0.714286	0.285714	αγχιαλη	αγχιαλη
135516	Ὰδαρούπολις	2	meineke_page_039.jpg	39	8683	ocr	OCR from image meineke_page_039.jpg (id=1211)	762775d60c738bea31639bbfc007097481ac14d59e078c29bdd0b57750477cfe	61106	Ἀδαρούπολις	56		1.000000	85693	Ἀνταιούπολις	0.750000	0.250000	αδαρουπολισ	αδαρουπολισ
135517	Ὰδέρκων	3	meineke_page_039.jpg	39	8684	ocr	OCR from image meineke_page_039.jpg (id=1211)	d36dc0274153ef12dc7c3622c8c0959e691608576e4ae97d1ca29b44c081e528	61107	Ἀδέρκων	57	Α57	1.000000	13839	Δερτών	0.714286	0.285714	αδερκων	αδερκων
135518	Ὰδιαβηνή	4	meineke_page_039.jpg	39	8685	ocr	OCR from image meineke_page_039.jpg (id=1211)	1074aa45bb132ab0472d5ecd577bb250d622bb713ed12ea3b232a2ab49a5884b	61108	Ἀδιαβηνή	58	Α58	1.000000	14818	Διαβήτη	0.750000	0.250000	αδιαβηνη	αδιαβηνη
135523	Ἀδρανόν		meineke_page_041.jpg	41	19041	ocr	OCR from image meineke_page_047.jpg (id=1219)	2e572349dd2f37bd149bdcbf081c9f1e5dfc783ea998f846408a4b43048967db	61113	Ἀδρανόν	63	Α63	1.000000	61112	Ἀδράνη	0.714286	0.285714	αδρανον	αδρανον
135524	Ἀδραστεία		meineke_page_041.jpg	41	19042	ocr	OCR from image meineke_page_047.jpg (id=1219)	4de9a89051fd9826985cfe47fe68a4838d6e04129081a515bad4bde4d87ba6eb	61114	Ἀδράστεια	64	Α64	1.000000	85723	Ἀπεράντεια	0.700000	0.300000	αδραστεια	αδραστεια
135525	Ἀδρία		meineke_page_041.jpg	41	8692	ocr	OCR from image meineke_page_041.jpg (id=1213)	ab3f5a280673b08f840baa95308946f386a4b08d6abf97062f18677407ad721a	61115	Ἀδρία	65	Α65	1.000000	85680	Ἀνδρία	0.833333	0.166667	αδρια	αδρια
135526	Ἀδρόττα	1	meineke_page_042.jpg	42	8693	ocr	OCR from image meineke_page_042.jpg (id=1214)	93c2750bacb21607b1acbe65412ee923ff3a0699eb2693df38d593223a273c56	61116	Ἄδροττα	66	Α66	1.000000	3278	Κόροντα	0.571429	0.428571	αδροττα	αδροττα
135527	Ἀδρύμης / Ἀδρύμητος	2	meineke_page_042.jpg	42	8694	ocr	OCR from image meineke_page_042.jpg (id=1214)	e1b144d1c21223e49a7e426bbf897c99b72534de8a3cb3fa51d4d9e18f58e954	61117	Ἀδρύμης, Ἀδρύμητος	67	Α67	1.000000	82928	Ἀμήστρατος	0.500000	0.500000	αδρυμησαδρυμητοσ	αδρυμησαδρυμητοσ
135532	Ἀζανία	19	meineke_page_043.jpg	43	8699	ocr	OCR from image meineke_page_043.jpg (id=1215)	299bdc27af7e1fafc92d9046fa6453c8319bf97d310a49702f4bfeda1328f95e	61121	Ἀζανία	71	Α71	1.000000	61124	Ἁζηνιά	0.833333	0.166667	αζανια	αζανια
