mineke_lemma_id	mineke_lemma	mineke_entry_number	biller_match_lemma_id	biller_match_lemma	biller_match_billerbeck_id	biller_match_entry_number	biller_match_similarity	headword_match_greek_headword	headword_match_billerbeck_id	headword_match_meineke_id	headword_match_nodegoat_id	headword_match_similarity	headword_target_lemma_id	agree_target
135494	Ἀγκυῶν		61086	Ἀγκών	Α36	36	0.833333	Ἀγκυρῶν	Α35	18.9	ngLS5X182MibwMSTxMU9vUScPLkAbTyYAMjvwPST	0.857143	61085	0
135512	Ἄγχιστις		11940	Ὀγχηστός	Ο8	8	0.625000	Ἀγχίση	Α54	24.16	ngEL7y081ELupFLSqF180NLzIFXTuMrzTEMopILS	0.625000	61104	0
135515	Ὰδανίς	1	32001	Σάδαλις	Σ10	10	0.714286	Ἀβαντίς	Α3	3.1	ngFM1B980HMv3GMRrFO7qOMaJGYUvNsCUHNp3JMR	0.714286	61053	0
135516	Ὰδαρούπολις	2	61106	Ἀδαρούπολις		56	1.000000	Ἀδαρούπολις	Α56	26.5	ngGN7w283INwqHNasH303PNVKGZVwOtxVIOqqKNa	1.000000		0
135527	Ἀδρύμης / Ἀδρύμητος	2	61117	Ἀδρύμης, Ἀδρύμητος	Α67	67	1.000000	Ἀμήστρατος	Α268	85.14	ngSZ8q485UZi4TZieSB27BZHWULHiAfrHUAc4WZi	0.500000	82928	0
135528	Ἀδρύμητος	3	61111	Ἀδράμυττις	Α61	61	0.600000	Ἀδρύμης	Α67	29.12	ngRY8D384TIh8SYZdTK13AYGVRKGhZeEGTJb8VYZ	0.777778	61117	0
135529	Ἀδυς	4	2466	Καοῦς	Κ64	64	0.600000	Ἄδρυξ	Α68	30.5	ngSZ8q485UZi4TZieSB28BZrWSrHiAfrHUAc4WZi	0.600000	61118	0
135535	Ὰδαρουπόλις	2	61106	Ἀδαρούπολις		56	1.000000	Ἀδαρούπολις	Α56	26.5	ngGN7w283INwqHNasH303PNVKGZVwOtxVIOqqKNa	1.000000		0
135547	Ἀθύμης / Ἀθυμητος		61117	Ἀδρύμης, Ἀδρύμητος	Α67	67	0.750000	Ἀμήστρατος	Α268	85.14	ngSZ8q485UZi4TZieSB27BZHWULHiAfrHUAc4WZi	0.500000	82928	0
135548	Ἀθυμητος	1	61022	Ὑμηττός	Υ29	29	0.625000	Ἄκυτος	Α181	66.1	ngFM9z788GsvsGMBrFe50OMKJFYUvNsaUG7psJMB	0.625000	80207	0
135549	Ἀδρευς	2	15927	Δρῦς	Δ138	138	0.666667	Ἄδρυξ	Α68	30.5	ngSZ8q485UZi4TZieSB28BZrWSrHiAfrHUAc4WZi	0.666667	61118	0
135550	Ἀδραματιαι	3	102792	Ἀτραμῖται	Α522	522	0.700000	Χαδραμωτῖται	Χ3	677.11	ngEL7y081ELuoFLcqFN83NLdIEdTuMrzTEMooILc	0.750000		0
135559	Ἀψωρεάτις / Ἀψωρεῖς	1	2079	Καισάρεια	Κ16	16	0.437500	Ἀντιπατρίς	Α335	100.15	ngLS5X182MibwMSTxME95USYPNEAbTyYAMjvwPST	0.437500	85703	0
135568	Λάμψα		32038	Σάμψα	Σ47	47	0.800000	Λάμια	Λ25	409.4	ngOV8e081OFe0PVKaOX83XVPSOnDeWbfDOGy0SVK	0.800000		0
135577	Μηλοβότιεια & Αἴγειρα	1	12823	Ὀλόβαγρα	Ο49	49	0.388889	Αἴγειρα	Α95	39.6	ngXE1B182ZEniYETjZG94GEUBIQL1FkwMXFhjBEv	0.388889	61144	0
