direction,feature,coef,odds_ratio,pros_dat_docs,plesion_docs,total_docs
pros_dat,πολισ εθνικον,1.0083072644858806,2.74095737001141,7,0,7
pros_dat,θουκυδιδησ,0.8702294718520563,2.387458645227513,7,1,8
pros_dat,φασι,0.8475586498731533,2.3339419214871295,16,2,18
pros_dat,συριασ,0.8157061492343579,2.260771550918911,13,2,15
pros_dat,πολιτησ,0.7777485661293218,2.1765663496965364,35,14,49
pros_dat,νησιωτησ,0.776357919106007,2.1735416178359235,3,0,3
pros_dat,καλουμενη,0.7410470247396349,2.098131160077759,5,1,6
pros_dat,ηρακλεουσ,0.7404623806065131,2.0969048585144368,4,0,4
pros_dat,ασια,0.6590173359766909,1.9328920174219217,5,2,7
pros_dat,εθνικον,0.6561207484221875,1.927301327330654,90,56,146
pros_dat,πρωτω,0.6439418829211749,1.9039713384507386,8,4,12
pros_dat,αφ,0.6295439631306345,1.8767545148271971,16,4,20
pros_dat,ποντω,0.6193160174384086,1.8576570022164896,6,1,7
pros_dat,εθνοσ,0.5788259301713382,1.7839427274074648,23,10,33
pros_dat,κωμην,0.5664881122269606,1.7620679875758902,3,0,3
pros_dat,νησοσ λιμην,0.5660709773806032,1.7613331208965268,2,0,2
pros_dat,εισι,0.5642308725969243,1.7580950634912416,7,6,13
pros_dat,αιθιοπιασ,0.5559881691195705,1.7436631678272596,5,1,6
pros_dat,κτητικον,0.5407607120896237,1.717312745988624,18,6,24
pros_dat,αριστοτελησ,0.5384163167018989,1.7132914015601517,5,0,5
pros_dat,ορη,0.5357585329181176,1.7087438892852818,2,0,2
pros_dat,εδει,0.5310800629581218,1.7007682537631432,6,1,7
pros_dat,ακαρνανιασ,0.5210005496251473,1.6837114440527143,3,0,3
pros_dat,οικητορεσ,0.5208318478704532,1.6834274229358082,5,2,7
pros_dat,αρριανοσ,0.5185211525355357,1.6795420257563056,5,0,5
pros_dat,εφη,0.5174831189238494,1.6777995092331563,2,0,2
pros_dat,ακρα,0.5162499057929599,1.6757317001340997,4,2,6
pros_dat,χρονικων,0.5089510366247932,1.663545281333141,4,0,4
pros_dat,κιλικια,0.49489874445298637,1.640332137919946,2,1,3
pros_dat,θρακη,0.4939711923056343,1.6388113497372545,3,0,3
plesion,λιμνη,-1.0986724055598251,0.3333132949717562,0,5,5
plesion,εθνοσ θρακησ,-0.7990438972414851,0.4497587742178642,0,2,2
plesion,καδμου,-0.777914256198294,0.4593631266036384,0,3,3
plesion,κρητησ,-0.7688752445207879,0.4635341377796951,4,6,10
plesion,εθνοσ εθνικον,-0.7571590266303782,0.4689969439616266,0,2,2
plesion,φρουριον,-0.7300110909855426,0.48190364527420015,2,5,7
plesion,ιταλιασ,-0.7236446144391377,0.48498146055302566,4,5,9
plesion,ερατοσθενησ,-0.7041456678549709,0.494530887466452,0,4,4
plesion,πεμπτη,-0.6977373925399647,0.4977101534710713,3,5,8
plesion,πολισ ιταλιασ,-0.6823887545405858,0.5054082529903443,0,3,3
plesion,εντευθεν,-0.6714594535342354,0.5109623075999872,0,4,4
plesion,λοκρων,-0.6616713639559243,0.5159882092997513,0,3,3
plesion,χωριον,-0.6604495956087102,0.5166190126307134,4,7,11
plesion,ιβηριασ,-0.634941751880663,0.5299663569621444,2,4,6
plesion,στραβων,-0.631823601573607,0.5316214507954872,10,13,23
plesion,μεταξυ,-0.6306745883242126,0.5322326419522392,3,4,7
plesion,νυμφησ,-0.6214845964223986,0.537146399735822,0,3,3
plesion,πολισ θρακησ,-0.6171451543882257,0.5394823801614764,4,6,10
plesion,πολισ αιγυπτια,-0.6147960174328421,0.5407511878755503,0,2,2
plesion,νησοσ μικρα,-0.6126153621221405,0.5419316664658229,0,2,2
plesion,λιθον,-0.6118045533412569,0.5423712476036734,0,3,3
plesion,μεμβλιαρου,-0.6019940072232453,0.5477183920579404,0,2,2
plesion,ισωσ,-0.6019700466246344,0.5477315158757109,1,4,5
plesion,καλλιμαχοσ,-0.5984809112795507,0.549645963208079,0,3,3
plesion,μακεδονικοισ εθνικον,-0.5787379057037423,0.5606054572140062,0,2,2
plesion,μακεδονικοισ,-0.5787379057037423,0.5606054572140062,0,2,2
plesion,θεοπομποσ,-0.5781309242321638,0.5609458376312537,1,3,4
plesion,αδελφου,-0.5643859528937474,0.568709253834092,0,2,2
plesion,δυο νησοι,-0.5626415115905988,0.5697021995619319,1,2,3
plesion,ποταμου,-0.5587232113557387,0.571938842882688,3,4,7
